Name,Price,MRP,Category,Image,Description,Stock
Royal Kundan Gold Necklace Set,1299,1999,jewellery,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=600,Handcrafted traditional Royal Kundan Necklace set with matching earrings. Perfect for weddings & festivals.,10
Matte Elegance Luxury Lipstick Combo,499,899,cosmetics,https://images.unsplash.com/photo-1586495777744-4413f21062fa?w=600,Long-lasting 12-hour stay velvet matte lipstick set in 4 viral shades. Lightweight formula.,15
Vintage Ceramic Royal Tea Cup Set (Set of 6),899,1499,tea-sets,https://images.unsplash.com/photo-1576092768241-dec231879fc3?w=600,Premium gold-trimmed ceramic tea cup & saucer set. Adds luxury to tea breaks.,8
Handmade Radha Krishna Canvas Painting,1499,2499,paintings,https://images.unsplash.com/photo-1579783902614-a3fb3927b675?w=600,Exquisite hand-painted Radha Krishna artwork on premium canvas with wooden frame.,5
Bridal Diamond-Style Zircon Bangles Set,799,1299,jewellery,https://images.unsplash.com/photo-1611591475281-8d9954a2be31?w=600,Sparkling American Diamond cubic zircon bangles set of 4. High shine anti-tarnish gold plating.,12
Glow & Shine Herbal Skincare Gift Box,699,1199,gifts,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=600,Natural herbal face serum, vitamin C moisturizer & rose water mist gift hamper box.,20
Classic Gold Plated Temple Choker,999,1599,jewellery,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=600,Traditional South Indian temple design gold-plated choker necklace with antique finish.,10
Velvet Rose Waterproof Eye Makeup Kit,599,999,cosmetics,https://images.unsplash.com/photo-1512496015851-a90fb38ba796?w=600,Complete eye makeup kit including smudge-proof eyeliner, mascara & eyeshadow palette.,18
Royal Blue Ceramic Coffee Mugs (Set of 4),549,899,tea-sets,https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=600,Handcrafted microwave-safe ceramic coffee mugs with matte blue finish.,14
Golden Sunset Abstract Wall Art Painting,1199,1899,paintings,https://images.unsplash.com/photo-1578926375605-eaf7559b1458?w=600,Modern abstract sunset acrylic painting on stretched canvas.,7
